,mt,ribo,hb,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches,highly_variable_intersection
PCBP1-AS1,False,False,False,1927,0.13378102189781022,0.12555808427601126,88.74744525547446,2291.0,7.73718,1927,False,0.13540606561263854,0.9515588456973897,0.53527933,0,False
PCBP1,False,False,False,8600,1.3651386861313868,0.8608366612949298,49.78102189781022,23378.0,10.059593,8597,False,0.6329704440600806,0.6073616043784494,-0.8836644,0,False
AC016700.3,False,False,False,4,0.00023357664233576643,0.00023354936755892855,99.97664233576641,4.0,1.609438,4,False,0.00028774080843004354,0.35126718248593897,-0.45596242,0,False
LINC01816,False,False,False,75,0.004671532846715329,0.004660655101154718,99.56204379562044,80.0,4.394449,75,False,0.0033048800639516786,0.29755607738557494,-0.54699546,0,False
C2orf42,False,False,False,445,0.02727007299270073,0.026904869104171072,97.40145985401459,467.0,6.1484685,445,False,0.02812463192097991,0.8050987015573507,0.29310068,0,False
TIA1,False,False,False,3127,0.25115328467153286,0.22406575369207743,81.74014598540145,4301.0,8.366836,3126,False,0.21506583290807665,0.9168438639353111,0.47841156,0,False
PCYOX1,False,False,False,1039,0.06808759124087592,0.06586975144549977,93.93284671532847,1166.0,7.0621915,1039,False,0.06654040377332845,0.729645093902052,0.16770281,0,False
SNRPG,False,False,False,6279,1.0258102189781022,0.7059697286739204,63.33430656934307,17567.0,9.773834,6279,False,0.4257903716857897,0.45042923400950297,-1.0314986,0,False
FAM136A,False,False,False,2301,0.20432116788321167,0.18591606204854258,86.56350364963504,3499.0,8.160519,2301,False,0.13052010486744503,0.5803309433918891,-0.07936782,0,False
AC022201.2,False,False,False,7,0.00046715328467153287,0.00046704420254656964,99.95912408759125,8.0,2.1972246,7,False,0.0002274849393548493,-0.04478069386249406,-1.1177602,0,False
TGFA,False,False,False,49,0.0030364963503649637,0.003031895506599351,99.71386861313869,52.0,3.9702919,49,False,0.0032991851932685046,0.6174676190374966,-0.01854797,0,False
ADD2,False,False,False,1133,0.23672992700729928,0.2124707405571754,93.38394160583941,4054.0,8.307706,1133,False,0.0669121063442619,0.7571485760985084,0.21324065,0,False
CLEC4F,False,False,False,38,0.0028613138686131388,0.002857228102004016,99.77810218978102,49.0,3.912023,38,False,0.0025764011346221753,0.21484025554263864,-0.6798983,0,False
ANKRD53,False,False,False,29,0.0016934306569343065,0.0016919984199407654,99.83065693430657,29.0,3.4011974,29,False,0.0009129122506181805,-0.2951102553969152,-1.5299176,0,False
TEX261,False,False,False,1154,0.07702189781021898,0.07419973019617014,93.26131386861314,1319.0,7.185387,1154,False,0.06144574709121434,0.8557317880115185,0.37683967,0,False
NAGK,False,False,False,2960,0.25979562043795623,0.23094950180494836,82.71532846715328,4449.0,8.40066,2959,False,0.20199795730507053,0.8386798159722824,0.34870306,0,False
AC007881.3,False,False,False,147,0.008875912408759123,0.008836753044356025,99.14160583941606,152.0,5.030438,147,False,0.009978343892261494,0.7675511573923302,0.23170984,0,False
MCEE,False,False,False,1007,0.06908029197080293,0.06679873864310668,94.11970802919708,1183.0,7.076654,1007,False,0.047140928718087,0.43510646089955674,-0.32016125,0,False
AC007881.4,False,False,False,8,0.00046715328467153287,0.00046704420254656964,99.95328467153286,8.0,2.1972246,8,False,0.0007853391397767381,0.9142003057357275,0.47413263,0,False
MPHOSPH10,False,False,False,3177,0.2802335766423358,0.24704254303558099,81.44817518248175,4799.0,8.476371,3177,False,0.2005027291829703,0.7307960805768166,0.16936164,0,False
PAIP2B,False,False,False,630,0.040875912408759124,0.04006258215207065,96.32116788321167,700.0,6.552508,630,False,0.03319182456198112,0.6571536654605665,0.048698433,0,False
ZNF638,False,False,False,4552,0.3884963503649635,0.328221399288064,73.41897810218978,6653.0,8.802974,4552,False,0.3560913707846557,1.1293328233579405,0.59611166,0,False
AC007878.1,False,False,False,234,0.013839416058394161,0.013744525821327248,98.63357664233577,237.0,5.4722705,234,False,0.015084756243579623,0.7496235067468071,0.2006077,0,False
DYSF,False,False,False,493,0.039007299270072994,0.03826573737641026,97.12116788321168,668.0,6.505784,493,False,0.03370093526468504,0.6876764200612764,0.09923777,0,False
EXOC6B,False,False,False,426,0.02616058394160584,0.025824249064420123,97.51240875912409,448.0,6.107023,426,False,0.03709305473346379,1.1422075082165999,0.85118526,0,False
SPR,False,False,False,71,0.0042043795620437955,0.004195565853773441,99.58540145985401,72.0,4.2904596,71,False,0.0027154250477541674,0.013001216119895326,-1.0167539,0,False
SFXN5,False,False,False,1095,0.07848175182481752,0.07555426674548534,93.60583941605839,1344.0,7.2041492,1094,False,0.0590112837751369,0.7517362983044746,0.20465448,0,False
RAB11FIP5,False,False,False,149,0.009226277372262774,0.00918397527006677,99.12992700729927,158.0,5.0689044,149,False,0.011851730206660124,0.7891804014559758,0.26608056,0,False
AC010913.1,False,False,False,8,0.0005255474452554744,0.0005254093935632255,99.95328467153286,9.0,2.3025851,8,False,0.0009870662338228695,1.0141449640025626,0.6327231,1,False
SMYD5,False,False,False,508,0.03147445255474453,0.03098928594639582,97.03357664233576,539.0,6.291569,508,False,0.029944131052444353,0.8452658785849982,0.35893357,0,False
PRADC1,False,False,False,796,0.0529051094890511,0.05155311464594229,95.35182481751825,906.0,6.8101425,796,False,0.031562460667657125,0.09000636367952539,-0.8904945,0,False
CCT7,False,False,False,5013,0.5755328467153284,0.45459353043666595,70.72700729927007,9856.0,9.195937,5012,False,0.30328410358720514,0.43806617355817035,-0.3148771,0,False
FBXO41,False,False,False,422,0.02621897810218978,0.02588115292536244,97.53576642335766,449.0,6.1092477,422,False,0.028325611200314946,0.876069030072379,0.40934485,0,False
EGR4,False,False,False,52,0.005956204379562044,0.0059385363159431305,99.69635036496351,102.0,4.634729,52,True,0.005777974131841029,2.003104047996932,2.274452,2,True
ALMS1,False,False,False,1026,0.07024817518248175,0.0678905610029054,94.00875912408759,1203.0,7.093405,1026,True,0.0767561706810891,1.1915180584218574,0.9329615,1,False
ALMS1-IT1,False,False,False,154,0.00945985401459854,0.009415389792360717,99.10072992700731,162.0,5.09375,154,True,0.010359443901563875,1.2094866712646386,0.96102244,1,False
AC074008.1,False,False,False,48,0.0028613138686131388,0.002857228102004016,99.71970802919708,49.0,3.912023,48,False,0.002830193567312289,0.882576241597222,0.42192885,0,False
TPRKB,False,False,False,3343,0.34084671532846716,0.29330129152333123,80.47883211678833,5837.0,8.672144,3342,False,0.17850680565711255,0.3445977628205561,-0.4691913,0,False
AC092653.1,False,False,False,17,0.0009927007299270073,0.000992208328402034,99.9007299270073,17.0,2.8903718,17,False,0.0009326438218405677,0.34660288130016,-0.4663661,0,False
DUSP11,False,False,False,1884,0.12537226277372263,0.11811388116428125,88.9985401459854,2147.0,7.6722927,1884,False,0.11015857145348615,0.605586516136834,-0.03777401,0,False
AC073046.4,False,False,False,34,0.0022773722627737226,0.002274782980989284,99.8014598540146,39.0,3.6888795,34,False,0.0018179366207264538,0.20626169512418183,-0.6998019,0,False
STAMBP,False,False,False,1855,0.13705109489051095,0.12843815209688236,89.16788321167883,2347.0,7.761319,1855,False,0.1004451675432465,0.6086508868279505,-0.032294083,0,False
DGUOK,False,False,False,4303,0.3699270072992701,0.31475745907704045,74.87299270072994,6335.0,8.754003,4302,False,0.23992425477233686,0.474318908046861,-0.2548086,0,False
DGUOK-AS1,False,False,False,348,0.02616058394160584,0.025824249064420123,97.96788321167882,448.0,6.107023,348,False,0.009162130710711348,0.23547817132089371,-0.65174764,0,False
AC073046.1,False,False,False,80,0.00472992700729927,0.004718776050867396,99.53284671532847,81.0,4.406719,80,False,0.004967801133508887,0.9140937921140919,0.47348595,0,False
TET3,False,False,False,1804,0.13745985401459854,0.1287975780461704,89.46569343065693,2354.0,7.764296,1804,False,0.11820225751528396,1.034330114197361,0.672525,0,False
AC073263.1,False,False,False,11,0.0006423357664233577,0.0006421295571039668,99.93576642335766,11.0,2.4849067,11,False,0.0003176180380643433,-0.815873015121325,-2.3946135,0,False
BOLA3,False,False,False,2942,0.46055474452554745,0.3788163255567625,82.82043795620437,7887.0,8.973098,2942,False,0.17509548833205638,0.588719801663623,-0.0654546,0,False
BOLA3-AS1,False,False,False,371,0.02867153284671533,0.028268195832035162,97.83357664233576,491.0,6.1984787,371,False,0.017648494740273954,0.7692404186340118,0.23406652,0,False
MOB1A,False,False,False,5923,0.6448467153284672,0.4976471977044624,65.41313868613139,11043.0,9.309643,5921,False,0.4200309229628324,0.679170950974006,-0.56735957,0,False
AC073263.2,False,False,False,123,0.00764963503649635,0.007620524938566269,99.28175182481752,131.0,4.882802,123,False,0.007318311013569442,0.7883993529854133,0.26472658,0,False
MTHFD2,False,False,False,1710,0.167007299270073,0.15444260801499785,90.01459854014598,2860.0,7.9589267,1708,False,0.08571389945513136,0.5995079835734527,-0.047215734,0,False
SLC4A5,False,False,False,132,0.008116788321167884,0.008084024367489858,99.22919708029198,139.0,4.9416423,132,False,0.011311404243688046,1.054334437458092,0.7058663,0,False
DCTN1,False,False,False,1968,0.1395036496350365,0.13059277253746931,88.50802919708029,2389.0,7.7790484,1968,False,0.1299911187740646,0.9750703575817343,0.57424265,0,False
DCTN1-AS1,False,False,False,5,0.00029197080291970805,0.00029192818773955307,99.97080291970802,5.0,1.7917595,5,False,0.00017083971750940947,-0.47630419482526487,-1.8293159,0,False
C2orf81,False,False,False,62,0.003678832116788321,0.003672081764459688,99.63795620437956,63.0,4.158883,62,False,0.0030632434518264077,0.28324920233607875,-0.5708075,0,False
AC005041.4,False,False,False,49,0.0028613138686131388,0.002857228102004016,99.71386861313869,49.0,3.912023,49,False,0.0032989433368487172,0.5782241932956539,-0.08188455,0,False
WDR54,False,False,False,1749,0.12344525547445255,0.11640008468654657,89.78686131386861,2114.0,7.6568103,1748,False,0.1133182193183848,0.6738459353828807,0.07532423,0,False
RTKN,False,False,False,73,0.004379562043795621,0.004369999671118371,99.57372262773723,75.0,4.3307333,73,True,0.00444315790490897,1.3836523432229333,1.254963,1,False
INO80B,False,False,False,1224,0.0792992700729927,0.07631200655225436,92.85255474452555,1358.0,7.2145042,1224,False,0.07204103883380318,0.7813750872526606,0.25405458,0,False
WBP1,False,False,False,1850,0.1258978102189781,0.11858077090896985,89.19708029197079,2156.0,7.6764736,1850,False,0.10851800681466467,0.7627821768544536,0.22339304,0,False
MOGS,False,False,False,1665,0.11398540145985402,0.10794403680509143,90.27737226277372,1952.0,7.5771217,1665,False,0.1131899769264489,0.932028370087082,0.50284296,0,False
AC005041.5,False,False,False,43,0.002802919708029197,0.002798998853436016,99.74890510948904,48.0,3.8918204,43,False,0.0024538110510855474,0.9931578227186121,0.6003369,1,False
MRPL53,False,False,False,410,0.024817518248175182,0.02451456576358583,97.60583941605839,425.0,6.0544395,410,False,0.019298380192805886,0.4448917782556872,-0.30256465,0,False
CCDC142,False,False,False,483,0.029197080291970802,0.028778964550043362,97.17956204379561,500.0,6.216606,483,True,0.037822893114698296,1.2047263936169852,0.9531109,1,False
TTC31,False,False,False,1080,0.0696058394160584,0.06729020622979091,93.69343065693431,1192.0,7.0842266,1080,False,0.07059532542535524,0.9690756575612598,0.5641346,0,False
LBX2,False,False,False,14,0.0008175182481751825,0.0008171842621461863,99.91824817518248,14.0,2.7080503,14,True,0.0015619483963394908,1.4612043143247102,1.3807248,1,False
AC005041.3,False,False,False,3,0.0001751824817518248,0.0001751671390926857,99.98248175182482,3.0,1.3862944,3,False,0.0003175431590692225,0.49100997895871934,-0.22896683,0,False
LBX2-AS1,False,False,False,27,0.001635036496350365,0.0016337012793989976,99.84233576642336,28.0,3.3672957,27,False,0.0015581769929607925,0.504482674994891,-0.20469229,0,False
PCGF1,False,False,False,621,0.03813138686131387,0.0374223536711942,96.37372262773722,653.0,6.4831076,621,False,0.029703077633074643,0.57983717368324,-0.0803424,0,False
TLX2,False,False,False,5,0.00029197080291970805,0.00029192818773955307,99.97080291970802,5.0,1.7917595,5,False,0.00017386193547540253,-0.10887620690008351,-1.2180545,0,False
DQX1,False,False,False,9,0.0005255474452554744,0.0005254093935632255,99.94744525547445,9.0,2.3025851,9,False,0.0006152673851821392,0.38996074549787146,-0.39364266,0,False
AUP1,False,False,False,3683,0.3191240875912409,0.2769679463316229,78.49343065693431,5465.0,8.606302,3682,False,0.21302536011271722,0.6427299284658077,0.024275124,0,False
HTRA2,False,False,False,2425,0.35094890510948906,0.30080723821067396,85.83941605839416,6010.0,8.701346,2424,False,0.14443267882329824,0.6200961679560077,-0.012781858,0,False
LOXL3,False,False,False,107,0.006598540145985402,0.006576865076918514,99.37518248175182,113.0,4.7361984,107,False,0.004386781372246295,0.18360111174136934,-0.73540086,0,False
DOK1,False,False,False,987,0.06569343065693431,0.06362569588021152,94.23649635036496,1125.0,7.026427,987,False,0.05319017128970807,0.6034311202785957,-0.0402633,0,False
M1AP,False,False,False,14,0.0008759124087591241,0.0008755290213447437,99.91824817518248,15.0,2.7725887,14,False,0.0002863737308722104,-0.9224395818278688,-2.5662432,0,False
SEMA4F,False,False,False,147,0.0087007299270073,0.008663096709804835,99.14160583941606,149.0,5.0106354,147,False,0.01312837013847612,1.1594029224895126,0.87934244,0,False
AC019069.1,False,False,False,143,0.009226277372262774,0.00918397527006677,99.16496350364964,158.0,5.0689044,143,False,0.005759445912919373,0.2869425899709849,-0.5650892,0,False
HK2,False,False,False,739,0.05658394160583942,0.055041007455260894,95.68467153284672,969.0,6.877296,739,False,0.04396580158184576,0.7046236616925915,0.12601256,0,False
LINC01291,False,False,False,28,0.001635036496350365,0.0016337012793989976,99.83649635036497,28.0,3.3672957,28,False,0.002675955385816547,1.1058102304629098,0.7911781,0,False
AC104135.1,False,False,False,11,0.0007007299270072992,0.0007004845304231261,99.93576642335766,12.0,2.5649493,11,False,0.0008016868507016726,0.40776409826937354,-0.36488277,0,False
POLE4,False,False,False,4006,0.36881751824817516,0.31394724176656164,76.60729927007299,6316.0,8.750999,4004,False,0.23591360124017985,0.4877119205740452,-0.23191914,0,False
AC007681.1,False,False,False,14,0.0008175182481751825,0.0008171842621461863,99.91824817518248,14.0,2.7080503,14,False,0.0012790557081716013,0.9407258562937634,0.51659435,0,False
EVA1A,False,False,False,7,0.00040875912408759124,0.00040867560483555794,99.95912408759125,7.0,2.0794415,7,False,0.00039604216424177837,-0.01280788310800058,-1.0614619,0,False
MRPL19,False,False,False,2477,0.20286131386861314,0.184703146779643,85.53576642335766,3474.0,8.15335,2477,False,0.13072169892780333,0.584114567191464,-0.07288288,0,False
GCFC2,False,False,False,1080,0.07293430656934306,0.07039723770098572,93.69343065693431,1249.0,7.130899,1080,False,0.05883816281667675,0.742644342785898,0.19026148,0,False
AC005034.5,False,False,False,14,0.0008175182481751825,0.0008171842621461863,99.91824817518248,14.0,2.7080503,14,False,0.0007193860955753307,0.5423262018513562,-0.14232312,0,False
AC005034.6,False,False,False,52,0.0030364963503649637,0.003031895506599351,99.69635036496351,52.0,3.9702919,52,False,0.003092934817538565,0.4199739640732824,-0.34618542,0,False
AC005034.4,False,False,False,6,0.0003503649635036496,0.0003503036000324793,99.96496350364964,6.0,1.9459102,6,False,0.0004680998402987723,0.789999697491727,0.26791784,0,False
SUCLG1,False,False,False,3384,0.306978102189781,0.26771768024754644,80.23941605839417,5257.0,8.567506,3384,False,0.1799537378681841,0.4316332246646698,-0.3257368,0,False
DNAH6,False,False,False,107,0.00689051094890511,0.006866879869705571,99.37518248175182,118.0,4.7791233,107,False,0.007585180254387655,0.9565448485644672,0.5456167,1,False
TRABD2A,False,False,False,2747,0.23918248175182483,0.21445187328062365,83.95912408759123,4096.0,8.31801,2747,True,0.2607372367048426,1.2240500643931786,0.98686206,1,False
TMSB10,False,False,False,13684,19.54592700729927,3.022662722140008,20.09343065693431,334724.0,12.721065,13670,False,2.8430471831455715,2.6261425169448067,0.07030676,0,False
AC022210.2,False,False,False,177,0.010744525547445255,0.010687213295972742,98.96642335766424,184.0,5.220356,177,False,0.014106505824135189,0.9556289500149487,0.5405714,1,False
KCMF1,False,False,False,3129,0.24566423357664233,0.2196689085900668,81.72846715328467,4207.0,8.344743,3127,False,0.16349017738185412,0.621117780997893,-0.011374094,0,False
TCF7L1,False,False,False,18,0.0012262773722627738,0.00122552610827521,99.89489051094891,21.0,3.0910425,18,False,0.0017552864687917105,0.9915370006739039,0.6041132,1,False
TGOLN2,False,False,False,6981,0.7094890510948905,0.5361945253354921,59.23503649635036,12150.0,9.405167,6979,False,0.5757039681853033,1.1083500695020452,0.30584684,0,False
RETSAT,False,False,False,504,0.03083211678832117,0.03036635645885699,97.05693430656935,528.0,6.2709885,504,False,0.03225899612978226,0.7468306946242071,0.19654085,0,False
ELMOD3,False,False,False,1015,0.06341605839416059,0.06148642296539368,94.07299270072993,1086.0,6.991177,1015,False,0.0714110409361699,0.9888179998082671,0.59710103,0,False
CAPG,False,False,False,2809,0.4116204379562044,0.34473829128897626,83.5970802919708,7049.0,8.860783,2809,False,0.24161121394414428,0.9150285731889947,0.19208933,0,False
AC062037.3,False,False,False,5,0.00029197080291970805,0.00029192818773955307,99.97080291970802,5.0,1.7917595,5,False,0.00022473664572764048,-0.07837191739627754,-1.1695995,0,False
SH2D6,False,False,False,4,0.00023357664233576643,0.00023354936755892855,99.97664233576641,4.0,1.609438,4,False,8.879160356412096e-05,-0.7740407845406626,-2.324036,0,False
PARTICL,False,False,False,246,0.01559124087591241,0.015470946230564643,98.56350364963504,267.0,5.590987,246,False,0.00948871438879131,0.41562524045365096,-0.35144112,0,False
MAT2A,False,False,False,4089,0.4245839416058394,0.3538798002859209,76.12262773722628,7271.0,8.891787,4088,False,0.3052997377654104,1.006584291050913,0.3482683,0,False
GGCX,False,False,False,1384,0.09290510948905109,0.08883938885568086,91.91824817518248,1591.0,7.3727465,1384,False,0.07765195470491068,0.7068344925934823,0.13053611,0,False
VAMP8,False,False,False,7064,1.0763211678832116,0.7305976584840909,58.75036496350366,18432.0,9.8218975,7063,False,0.5542367502292203,0.7530703073564053,-0.41359288,0,False
VAMP5,False,False,False,3134,0.2714160583941606,0.24013128592189292,81.6992700729927,4648.0,8.444407,3134,False,0.20064920437971123,0.5355773309798909,-0.15294603,0,False
RNF181,False,False,False,3824,0.32525547445255476,0.28160525176013995,77.67007299270074,5570.0,8.62533,3824,False,0.19783246055086506,0.3174713376486344,-0.51414585,0,False
TMEM150A,False,False,False,429,0.026744525547445254,0.02639314201411288,97.4948905109489,458.0,6.1290503,429,False,0.02473754489704636,0.6915675967244648,0.10597528,0,False
USP39,False,False,False,1476,0.10797080291970802,0.10253023682239609,91.38102189781023,1849.0,7.522941,1476,False,0.07175221147139235,0.6250950833805756,-0.0048938557,0,False
C2orf68,False,False,False,1625,0.11013138686131387,0.10447837486120062,90.51094890510949,1886.0,7.5427437,1625,False,0.10144056673503211,0.8876472687720331,0.42916116,0,False
GNLY,False,False,False,2152,1.6612554744525547,0.9787979943216251,87.43357664233577,28449.0,10.255903,2150,True,1.1640974552426337,3.814260379399105,1.5950698,2,True
ATOH8,False,False,False,14,0.0008175182481751825,0.0008171842621461863,99.91824817518248,14.0,2.7080503,14,False,0.000658256016263015,0.34734273959534956,-0.464001,0,False
ST3GAL5,False,False,False,1632,0.1185985401459854,0.11207659833207395,90.47007299270074,2031.0,7.616776,1632,False,0.12835271988816993,1.009265098684805,0.6304376,0,False
ST3GAL5-AS1,False,False,False,32,0.0018686131386861315,0.001866869452999841,99.81313868613138,32.0,3.4965076,32,False,0.0027343982841586648,1.008769191343295,0.630373,0,False
AC012511.1,False,False,False,7,0.00046715328467153287,0.00046704420254656964,99.95912408759125,8.0,2.1972246,7,False,0.0005265553167596469,0.5904614236118249,-0.063025355,0,False
POLR1A,False,False,False,686,0.0465985401459854,0.04554542010117128,95.9941605839416,798.0,6.683361,686,False,0.04654465346981426,1.1547982611926733,0.8713301,0,False
PTCD3,False,False,False,2790,0.22937226277372263,0.20650368364012933,83.7080291970803,3928.0,8.27614,2790,False,0.19563362504706044,1.0170880767143706,0.64363366,0,False
IMMT,False,False,False,2947,0.26499270072992703,0.2350663519888653,82.79124087591241,4538.0,8.420462,2947,False,0.16864100076526106,0.7561075898229668,0.21142098,0,False
AC009309.1,False,False,False,251,0.01594160583941606,0.015815872937060025,98.53430656934307,273.0,5.613128,251,False,0.011111772117855936,0.5393382649928256,-0.14813556,0,False
MRPL35,False,False,False,1694,0.15462773722627737,0.14377798659040356,90.1080291970803,2648.0,7.8819375,1694,False,0.07412441459808214,0.2533091409123911,-0.62027806,0,False
REEP1,False,False,False,20,0.0011678832116788322,0.0011672017665946828,99.88321167883211,20.0,3.0445225,20,False,0.0011249433495661733,0.31415635711131606,-0.52458256,1,False
KDM3A,False,False,False,1824,0.12362043795620438,0.11655600579078387,89.34890510948905,2117.0,7.6582274,1824,False,0.13026511498224053,0.9450243710808195,0.52451783,0,False
CHMP3,False,False,False,4668,0.4095766423357664,0.34328940564234406,72.74160583941605,7014.0,8.855806,4667,False,0.2784824398000762,0.6577835372632999,0.04922111,0,False
AC015971.1,False,False,False,77,0.0044963503649635035,0.004486271980998797,99.55036496350364,77.0,4.356709,77,False,0.006792927672311494,1.0775837050343327,0.7421254,1,False
RNF103,False,False,False,1156,0.07655474452554745,0.07376589070997286,93.24963503649634,1311.0,7.179308,1156,False,0.07785349264927642,1.0044398922910542,0.62237936,0,False
RMND5A,False,False,False,3128,0.25074452554744525,0.2237389944407163,81.73430656934306,4294.0,8.365207,3128,False,0.15577233974692273,0.7436408151283016,0.19131318,0,False
CD8A,False,False,False,2143,0.2582189781021898,0.22969721157380718,87.48613138686132,4422.0,8.394573,2143,True,0.26320275017364614,1.3074330177127105,0.89952314,1,False
CD8B,False,False,False,2140,0.3882043795620438,0.3280110987678466,87.5036496350365,6648.0,8.802221,2140,True,0.3226069089292454,1.4280460391177465,1.1259266,1,False
RGPD1,False,False,False,4,0.00023357664233576643,0.00023354936755892855,99.97664233576641,4.0,1.609438,4,False,0.0001749047050521181,-0.6304495621131869,-2.0806925,0,False
PLGLB1,False,False,False,88,0.005547445255474452,0.005532114851295755,99.4861313868613,95.0,4.564348,88,False,0.007051449653718421,1.1332476280153982,0.83652097,0,False
AC092651.3,False,False,False,11,0.0006423357664233577,0.0006421295571039668,99.93576642335766,11.0,2.4849067,11,False,0.0002712347978496903,-0.47620200479705627,-1.8258278,0,False
AC068279.2,False,False,False,3,0.0001751824817518248,0.0001751671390926857,99.98248175182482,3.0,1.3862944,3,False,7.182815832103512e-05,-0.7945212443306756,-2.3573794,0,False
LINC01943,False,False,False,431,0.02837956204379562,0.02798432266465919,97.48321167883212,486.0,6.1882644,430,False,0.024686439133289096,0.8117852238778236,0.3033603,0,False
CYTOR,False,False,False,3074,0.43310948905109486,0.3598465514060671,82.04963503649635,7417.0,8.911665,3074,True,0.2520538422340691,1.4836895829736725,1.4156661,2,True
AC133644.2,False,False,False,241,0.017751824817518247,0.017596101391255566,98.592700729927,304.0,5.7203116,241,False,0.018492560397146994,0.6676654700102853,0.06562686,0,False
PLGLB2,False,False,False,204,0.012029197080291971,0.011957421318949188,98.80875912408759,206.0,5.332719,204,False,0.013051418635756776,0.6741146301808556,0.07557578,0,False
RGPD2,False,False,False,306,0.021372262773722627,0.021147078776637105,98.21313868613139,366.0,5.9053617,306,False,0.02829943948751187,1.1831026405718679,0.9184626,0,False
AC108479.3,False,False,False,174,0.011036496350364964,0.010976038645293042,98.98394160583942,189.0,5.247024,174,False,0.006536525330111267,0.589988161902922,-0.065036714,0,False
KRCC1,False,False,False,2215,0.17132846715328467,0.15813854669427155,87.06569343065694,2934.0,7.9844627,2215,False,0.12711890554478406,0.576654398182884,-0.08514782,0,False
THNSL2,False,False,False,64,0.0037956204379562043,0.0037884352464689006,99.62627737226278,65.0,4.189655,64,False,0.003094477713719056,0.2852042919889871,-0.56655574,0,False
AC104134.1,False,False,False,4,0.00023357664233576643,0.00023354936755892855,99.97664233576641,4.0,1.609438,4,False,0.0001868481699378134,0.017555855294758546,-1.0104327,0,False
EIF2AK3,False,False,False,764,0.05062773722627737,0.04938783050872557,95.53868613138687,867.0,6.7661915,764,True,0.057879819109935636,1.1548925347536132,0.87326825,1,False
EIF2AK3-DT,False,False,False,667,0.043795620437956206,0.04286370443178237,96.1051094890511,750.0,6.6214056,667,False,0.05515920139025855,1.0048420446580821,0.6243309,0,False
AC062029.1,False,False,False,15,0.0008759124087591241,0.0008755290213447437,99.91240875912408,15.0,2.7725887,15,False,0.0009394528744270641,0.8887528386124414,0.43381616,1,False
RPIA,False,False,False,4570,0.5788613138686132,0.4567038997939247,73.3138686131387,9913.0,9.201703,4570,False,0.24057300313116392,0.4013128517786656,-0.3756212,0,False
IGKC,False,False,False,8391,27.962627737226278,3.3660063001838583,51.0014598540146,478860.0,13.079165,8369,True,2.4830213161042485,7.358760375038356,3.9479806,2,True
IGKV4-1,False,False,False,109,0.02143065693430657,0.021204249402385175,99.36350364963504,367.0,5.908083,109,True,0.014239856490081757,1.8592741274600981,2.0364494,2,True
IGKV5-2,False,False,False,5,0.00029197080291970805,0.00029192818773955307,99.97080291970802,5.0,1.7917595,5,False,0.0002722216846618794,0.12701604047833692,-0.82997715,0,False
IGKV1-5,False,False,False,42,0.022014598540145987,0.02177577596535038,99.75474452554745,377.0,5.934894,42,True,0.007343815043149168,1.9067021987798767,2.117928,2,True
IGKV1-6,False,False,False,9,0.0021021897810218977,0.0020999832718770492,99.94744525547445,36.0,3.6109178,9,False,0.0007208408662922012,0.4367111363239592,-0.31347048,0,False
IGKV1-8,False,False,False,23,0.0015766423357664234,0.001575400740102496,99.86569343065693,27.0,3.3322046,23,False,0.0015756361085918348,0.39228974373288616,-0.39176783,0,False
IGKV1-9,False,False,False,9,0.01016058394160584,0.010109312216551333,99.94744525547445,174.0,5.164786,9,True,0.003103506942443094,1.3972061644244662,1.7606493,1,False
IGKV3-11,False,False,False,61,0.014364963503649636,0.014262764971497338,99.64379562043796,246.0,5.5093884,61,True,0.006633273112065997,1.6885611129479368,1.7560867,2,True
IGKV3-15,False,False,False,31,0.00689051094890511,0.006866879869705571,99.81897810218979,118.0,4.7791233,30,True,0.003907546590502483,1.3559368043465068,1.2018317,1,False
IGKV1-16,False,False,False,11,0.0007007299270072992,0.0007004845304231261,99.93576642335766,12.0,2.5649493,11,False,0.0007140527700222382,0.3135293595646145,-0.5195111,0,False
IGKV1-17,False,False,False,10,0.00145985401459854,0.0014587894636599347,99.94160583941606,25.0,3.2580965,10,False,0.0006574096143731358,0.14302804052018356,-0.801832,0,False
IGKV3-20,False,False,False,57,0.013956204379562043,0.01385971328905813,99.66715328467153,239.0,5.480639,57,True,0.007169894589989151,1.4235913961914055,1.3164058,2,True
IGKV6-21,False,False,False,3,0.00023357664233576643,0.00023354936755892855,99.98248175182482,4.0,1.609438,3,False,0.00018113527190801143,0.09747143695955093,-0.87974226,0,False
IGKV2-24,False,False,False,29,0.004145985401459854,0.004137414485746121,99.83065693430657,71.0,4.276666,29,True,0.0028226402875526323,1.1259833427517745,0.826048,1,False
IGKV1-27,False,False,False,12,0.0007591240875912409,0.0007588360986380783,99.92992700729927,13.0,2.6390574,12,False,0.0008395470464904921,0.2927460320212849,-0.55356854,0,False
IGKV2-29,False,False,False,5,0.0005839416058394161,0.0005837711782831674,99.97080291970802,10.0,2.3978953,5,False,0.0006846857756134246,0.8681754399125419,0.39426908,1,False
IGKV2-30,False,False,False,9,0.001635036496350365,0.0016337012793989976,99.94744525547445,28.0,3.3672957,9,True,0.0012882313665008183,1.1123247257169748,0.8046203,1,False
